ID|COUPONCODE|COUPONTYPE|CREATED_AT|CUSTOMERNAME|CUSTOMERREVIEW|GROSSMARGIN|ORDERTYPE|PAYMENTTYPE|AMOUNT|SERVINGTIME|TXNID|PRODUCT_ID|STORE_ID|CUSTOMER_ID
40153487|10%OFF|Regional|2019-09-29 11:51:19.000000|Jan Gill|4|0.21|call-in|Stripe|3.21|558|FAATXH7N6H|4494|8995|2997
34995101||Regional|2018-10-15 15:18:03.000000|Evan Jackson|2|1.26|mobile-app|Debit Card|8.26|287|FYV7AJ4VVP|4014|8640|3208
39480022|5%OFF|One-time Personal|2017-10-26 11:52:48.000000|Ella Hudson|3|0.66|mobile-app|Cash|3.66|551|641GOHXZ74|4491|8654|2783
35060478|5%OFF|Regional|2019-01-23 12:33:26.000000|Christian Walker|4|0.07|drive-thru|Paypal|7.07|143|L6068IYXI1|4044|8579|2535
34373702|10%OFF|One-time Personal|2017-12-07 13:31:37.000000|Edward Hemmings|2|1.05|mobile-app|Credit Card|8.05|456|U3AF6KE4M5|4214|8288|1059
38257113|BOGO|Regional|2018-10-30 10:59:26.000000|Paul Sharp|5|0.45|in-store|Stripe|5.45|453|83XPM9FKY4|4285|8554|1336
35757669|BOGO|One-time Personal|2019-01-04 07:20:45.000000|Jake Ferguson|1|0.42|mobile-app|Cash|6.42|192|GIHXVV1LZM|4524|8699|2179
33822150|5%OFF|One-time Personal|2018-09-29 13:15:36.000000|Stephen Bailey|2|1.33|call-in|Apple Pay|8.33|217|A0DGTJH8LO|4086|8350|3776
34501619|10%OFF|Regional|2018-09-20 12:59:10.000000|Rebecca Young|1|1.38|call-in|Credit Card|7.38|423|LO7X6DQGGD|4222|8249|3453
34083701|5%OFF|National|2019-05-24 14:31:27.000000|Diana McLean|3|1.51|mobile-app|Debit Card|3.51|295|AOUD5TS15C|4080|8081|3116
34725757|BOGO|National|2019-06-17 09:55:43.000000|Victoria Hardacre|1|1.06|call-in|Debit Card|2.06|325|3SF28BCGP7|4170|8316|3292
33966195|5%OFF|Multi-Use Personal|2019-02-19 08:51:43.000000|Angela Miller|3|0.40|call-in|Stripe|2.40|221|MQE1OI09ZA|4081|8354|2149
34911854||One-time Personal|2018-06-21 09:52:12.000000|Una Robertson|1|0.42|mobile-app|Gift Card|2.42|75|IQIFMV4X5B|4024|8631|3726
34713089|10%OFF|Multi-Use Personal|2019-06-02 13:12:19.000000|Chloe Jackson|1|0.90|in-store|Credit Card|6.90|256|2MD19FR6H1|4009|8311|2014
34058211||One-time Personal|2019-05-06 07:08:24.000000|Madeleine Scott|1|1.24|drive-thru|Paypal|3.24|119|4EAE33OR7G|4077|8525|2472
34440719|BOGO|Multi-Use Personal|2018-05-19 14:04:17.000000|Boris White|2|2.52|mobile-app|Paypal|9.52|512|45IOZDJOGJ|4179|8499|2666
35123851|5%OFF|National|2019-04-15 09:57:22.000000|David Ball|5|0.24|call-in|Gift Card|2.24|286|V3MU8ZDDPK|4024|8643|2835
37442127|5%OFF|One-time Personal|2018-08-28 15:54:06.000000|Chloe Howard|2|0.78|mobile-app|Google Pay|3.78|45|1EY4F26L6K|4411|8030|1378
34727892|BOGO|One-time Personal|2019-06-20 11:41:43.000000|Donna Fraser|1|2.35|call-in|Gift Card|5.35|244|LHM0YHFKPJ|4176|8105|3646
34561786|BOGO|Regional|2018-12-10 17:35:14.000000|Mary Abraham|1|0.12|mobile-app|Gift Card|1.12|3|O97IOG9480|4192|8235|802
34373832|5%OFF|Regional|2017-12-08 14:30:09.000000|Melanie Dyer|3|1.68|drive-thru|Apple Pay|8.68|272|CEOOLRXANE|4181|8444|693
33717772||One-time Personal|2018-05-05 17:13:25.000000|Kevin Gibson|1|4.35|call-in|Paypal|10.35|151|AEC4YRUFP5|4088|8181|3374
34425442|10%OFF|One-time Personal|2018-04-11 13:57:15.000000|Stephen Russell|2|0.80|call-in|Google Pay|5.80|306|F2SDCKHM9N|4186|8465|1812
34793939|BUY5GET1|National|2019-09-11 11:37:29.000000|Vanessa Churchill|3|0.34|call-in|Stripe|2.34|598|19D65A4SQQ|4199|8181|1605
34763629|BOGO|Regional|2019-08-06 15:55:42.000000|Sonia MacLeod|3|0.75|in-store|Gift Card|3.75|543|RSUSZ2QASC|4183|8178|1293
33168324|BOGO|One-time Personal|2014-02-18 05:50:51.000000|Matt Parsons|2|0.00|drive-thru|Paypal|6.00|8|3SF9HZ4Z46|4571|8796|1630
38359343|10%OFF|Multi-Use Personal|2019-02-03 13:54:33.000000|Joshua Marshall|3|1.47|drive-thru|Paypal|8.47|124|PCAFDNA9O2|4292|8360|3862
33169038|BOGO|One-time Personal|2014-08-19 19:44:46.000000|Bernadette Quinn|4|2.00|drive-thru|Stripe|3.00|276|18KGDCLI8J|4112|8346|338
34420991|BUY5GET1|One-time Personal|2018-03-31 08:24:17.000000|Jan Terry|3|0.20|drive-thru|Debit Card|1.20|581|2NV3Q5FWY9|4192|8267|2217
39906869|10%OFF|National|2019-04-24 10:19:47.000000|Chloe Forsyth|5|0.21|in-store|Paypal|3.21|162|X7I0Q9WL96|4495|8363|1742
33646909|5%OFF|One-time Personal|2017-12-06 17:39:59.000000|Karen Davies|3|0.14|in-store|Google Pay|2.14|57|RUOJC7HJ4R|4079|8130|2213
38733452|10%OFF|Multi-Use Personal|2019-08-13 10:32:34.000000|Lisa Springer|4|1.06|drive-thru|Paypal|6.06|137|TYB1KN8TOE|4296|8651|2131
34699296|BOGO|Regional|2019-05-15 10:53:35.000000|Melanie Turner|1|3.56|in-store|Stripe|4.56|433|RH8I0TXP1N|4173|8474|2161
35392427|BOGO|Regional|2018-01-17 20:17:10.000000|Eric Clarkson|2|2.52|in-store|Stripe|9.52|423|7PMCUN76UW|4550|8754|723
34682939|10%OFF|Multi-Use Personal|2019-04-22 14:16:28.000000|Austin Black|3|3.40|mobile-app|Cash|4.40|211|CEWVH0Y5Z5|4173|8548|2373
39674677|BUY5GET1|Regional|2018-10-03 12:11:47.000000|Richard Davies|3|3.10|drive-thru|Paypal|6.10|375|WN3N0KFOGB|4490|8244|3272
36422279|BUY5GET1|National|2018-06-13 09:45:10.000000|Irene Hardacre|4|0.38|in-store|Apple Pay|2.38|522|9SVXV2JHRI|4113|8182|2403
40098811|BOGO|National|2019-08-29 08:06:49.000000|Una Slater|2|3.68|in-store|Apple Pay|7.68|140|RBPLLHN7LT|4484|8930|1800
35121660|BUY5GET1|Multi-Use Personal|2019-04-14 11:06:03.000000|Neil Bell|5|0.90|mobile-app|Stripe|6.90|273|L80MTXPGKO|4035|8631|3436
37462894|BOGO|Regional|2018-11-01 07:51:18.000000|Sarah McDonald|2|2.33|call-in|Apple Pay|8.33|504|FR3LFKX0BJ|4396|8426|2525
36933434|BUY5GET1|Regional|2018-02-27 16:24:49.000000|Olivia Greene|5|4.46|mobile-app|Apple Pay|9.83|531|M1CTA4OEIV|4467|8888|2793
33887303|5%OFF|Regional|2018-12-07 09:48:01.000000|Edward Alsop|1|0.32|in-store|Gift Card|2.32|141|5H6HRRLMDA|4079|8246|1170
37692583||One-time Personal|2018-07-28 08:08:28.000000|Madeleine Paige|1|0.63|call-in|Google Pay|3.63|310|DXMMCKSC8F|4071|8157|1980
34130388|5%OFF|Regional|2019-07-01 11:16:48.000000|Eric Grant|3|1.26|call-in|Cash|8.26|434|L0EHSRHQ79|4089|8543|2497
35974674|BOGO|National|2019-05-25 21:48:46.000000|Anna Ellison|2|1.16|mobile-app|Apple Pay|5.16|350|NYRHMQ1565|4555|8694|2911
36101794||Regional|2019-07-08 17:02:40.000000|Natalie Hamilton|2|1.92|mobile-app|Paypal|4.92|301|PC6JOOBAPH|4546|8771|363
34608388|10%OFF|Multi-Use Personal|2019-01-27 07:52:07.000000|Lisa North|2|0.23|mobile-app|Cash|1.23|527|CZKMONM6MQ|4192|8425|3119
37941148||One-time Personal|2019-09-12 17:03:34.000000|Luke Sharp|5|1.12|call-in|Paypal|8.12|287|5ZEYSDI536|4047|8282|2592
34879704|BUY5GET1|National|2018-05-05 16:20:07.000000|Ian Jackson|3|1.15|mobile-app|Gift Card|3.15|11|SSNYQDM4IX|4011|8649|1929
33418911|BOGO|Regional|2018-08-31 07:13:44.000000|Felicity Fisher|5|2.89|mobile-app|Stripe|7.47|272|FY6V81PPVS|4430|8918|816
34771737|10%OFF|National|2019-08-15 07:46:49.000000|Joanne Walsh|1|0.14|drive-thru|Apple Pay|1.14|530|AU0M2INJIP|4193|8179|632
